index,Title,imdbID,Writer,Plot,Awards,Metascore,Type
81,The Man Who Shot Liberty Valance,tt0056217,"James Warner Bellah (screenplay), Willis Goldbeck (screenplay), Dorothy M. Johnson (based on the story by)","A senator, who became famous for killing a notorious outlaw, returns for the funeral of an old friend and tells the truth about his deed.",Nominated for 1 Oscar. Another 4 wins & 2 nominations.,94,movie
82,To Kill a Mockingbird,tt0056592,"Harper Lee (based on her novel ""To Kill a Mockingbird""), Horton Foote (screenplay)","Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice.",Won 3 Oscars. Another 10 wins & 16 nominations.,88,movie
83,Lolita,tt0056193,"Vladimir Nabokov (screenplay), Vladimir Nabokov (novel)",A middle-aged college professor becomes infatuated with a fourteen-year-old nymphet.,Nominated for 1 Oscar. Another 2 wins & 8 nominations.,N/A,movie
84,The Longest Day,tt0056197,"Cornelius Ryan (screenplay), Cornelius Ryan (book), Romain Gary (additional episodes written by), James Jones (additional episodes written by), David Pursall (additional episodes written by), Jack Seddon (additional episodes written by)","The events of D-Day, told on a grand scale from both the Allied and German points of view.",Won 2 Oscars. Another 6 wins & 6 nominations.,75,movie
85,Lawrence of Arabia,tt0056172,"T.E. Lawrence (writings), Robert Bolt (screenplay), Michael Wilson (screenplay)","The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",Won 7 Oscars. Another 23 wins & 14 nominations.,100,movie
86,Donovan's Reef,tt0057007,"Frank S. Nugent (screenplay), James Edward Grant (screenplay), Edmund Beloin (story)","Comedy subtly dealing with moral issues such as racial bigotry, corporate greed, American belief of societal superiority and hypocrisy.",N/A,N/A,movie
87,Hud,tt0057163,"Irving Ravetch (screenplay), Harriet Frank Jr. (screenplay), Larry McMurtry (from a novel by)","Honest and hard-working Texas rancher Homer Bannon has a conflict with his unscrupulous, selfish, arrogant and egotistical son Hud, who sank into alcoholism after accidentally killing his brother in a car crash.",Won 3 Oscars. Another 12 wins & 17 nominations.,62,movie
88,From Russia with Love,tt0057076,"Richard Maibaum (screenplay), Johanna Harwood (adaptation)",James Bond willingly falls into an assassination plot involving a naive Russian beauty in order to retrieve a Soviet encryption device that was stolen by S.P.E.C.T.R.E.,Nominated for 1 Golden Globe. Another 3 wins & 5 nominations.,85,movie
89,Tom Jones,tt0057590,"John Osborne (screenplay), Henry Fielding (based on the novel by)",The romantic and chivalrous adventures of adopted bastard Tom Jones in 18th century England.,Won 4 Oscars. Another 16 wins & 20 nominations.,N/A,movie
90,55 Days at Peking,tt0056800,"Robert Hamer (additional dialogue), Philip Yordan (screenplay), Bernard Gordon (screenplay)","During the 1900 Boxer Rebellion against foreigners in China, U.S. Marine Major Matt Lewis, aided by British Consul Sir Arthur Robertson, devises a strategy to keep the rebels at bay until an international military relief force arrives.",Nominated for 2 Oscars. Another 3 nominations.,N/A,movie
